Nature (classification) ,Case # ,Location(s) ,Date/Time Reported ,Date/Time Occurred (start) ,Time,Day of Week,Date/Time Occurred (end) ,disposition 
Theft ,19-0199 ,Rice University Police ,05/30/2019 7:13 a.m. ,5/28/2019,1 p.m. ,Tuesday,05/30/2019 7 a.m. ,Inactive 
Criminal Trespass ,19-0200 ,College Way ,05/31/2019 3:03 p.m. ,5/31/2019,3:03 p.m. ,Friday,05/31/2019 3:03 p.m. ,Criminal Arrest 
Theft ,19-0203 ,Greenbriar Lot ,06/04/2019 8:25 a.m. ,5/31/2019,3 p.m. ,Friday,06/04/2019 8:15 a.m. ,Inactive 
Theft ,19-0204 ,Hanszen College ,06/04/2019 12:11 p.m. ,6/3/2019,6 p.m. ,Monday,06/04/2019 10 a.m. ,Inactive 
Theft ,19-0205 ,Rec Center ,06/04/2019 5:15 p.m. ,6/4/2019,3:30 p.m. ,Tuesday,06/04/2019 4:30 p.m. ,Inactive 
Theft ,19-0206 ,Facilities &amp; Engineering ,06/05/2019 3:31 p.m. ,6/5/2019,3:25 p.m. ,Wednesday,06/05/2019 3:25 p.m. ,Cleared 
Fraud ,19-0208 ,Jones College ,06/06/2019 3:54 p.m. ,6/6/2019,8 a.m. ,Thursday,06/06/2019 2:50 p.m. ,Unfounded 
Warrants ,19-0209 ,BRC ,06/10/2019 6:50 p.m. ,6/10/2019,6:51 p.m. ,Monday,06/10/2019 11:30 p.m. ,Criminal Arrest 
Burglary of a Motor Vehicle ,19-0210 ,North Lot ,06/12/2019 12:36 a.m. ,6/11/2019,8 p.m. ,Tuesday,06/11/2019 11:40 p.m. ,Inactive 
Criminal Mischief ,19-0211 ,West Lot ,06/12/2019 10 a.m. ,6/12/2019,10 a.m. ,Wednesday,06/12/2019 10:20 a.m. ,Inactive 
Theft ,19-0212 ,Anderson Clarke ,06/12/2019 3:59 p.m. ,6/11/2019,5 p.m. ,Tuesday,06/12/2019 8 a.m. ,Inactive 
Theft ,19-0214 ,Rice Memorial Center ,06/13/2019 2:37 p.m. ,6/7/2019,3 p.m. ,Friday,06/13/2019 10 a.m. ,Inactive 
Criminal Mischief ,19-0215 ,McMurtry College ,06/17/2019 9:49 a.m. ,6/17/2019,4 p.m. ,Monday,06/16/2019 5:30 p.m. ,Inactive 
Theft ,19-0216 ,Ryon Lab ,06/17/2019 11 a.m. ,4/26/2019,2 p.m. ,Friday,05/17/2019 12:30 p.m. ,Inactive 
Theft ,19-0217 ,BRC ,06/17/2019 1:11 p.m. ,6/15/2019,noon ,Saturday,06/17/2019 10:30 a.m. ,Inactive 
Criminal Trespass ,19-0220 ,Cambridge Building ,06/19/2019 11:23 p.m. ,6/19/2019,11:35 p.m. ,Wednesday,06/20/2019 12:09 a.m. ,County Citiation 
Theft ,19-0223 ,Keck Hall ,06/25/2019 4:30 p.m. ,6/24/2019,5 p.m. ,Monday,06/25/2019 11 a.m. ,Inactive 
Unauthorized Use of a Motor Vehicle (Clery) ,19-0224 ,Facilities &amp; Engineering ,06/26/2019 5:41 p.m. ,6/26/2019,5 p.m. ,Wednesday,06/26/2019 5:40 p.m. ,Criminal Arrest 
Failure to Stop and Give Information ,19-0225 ,South Colleges Lot ,06/28/2019 9:21 a.m. ,6/27/2019,6 p.m. ,Thursday,06/28/2019 9:30 a.m. ,Inactive 
Theft ,19-0226 ,BRC ,06/28/2019 5:33 p.m. ,6/28/2019,8:50 a.m. ,Friday,06/28/2019 5:30 p.m. ,Inactive 
Burglary of a Motor Vehicle ,19-0227 ,Greenbriar Annex Building ,06/29/2019 12:09 p.m. ,6/28/2019,8:30 p.m. ,Friday,06/29/2019 10:30 a.m. ,Inactive 
Burglary of a Motor Vehicle ,19-0228 ,South Stadium Lot ,06/29/2019 12:17 p.m. ,6/23/2019,8 p.m. ,Sunday,06/29/2019 12:15 p.m. ,Inactive 
Fraud ,19-0229 ,Off Campus ,06/30/2019 4:22 p.m. ,6/29/2019,8 p.m. ,Saturday,06/30/2019 midnight ,Inactive 
Theft ,19-0230 ,Rec Center ,06/30/2019 7:57 p.m. ,6/30/2019,6:50 p.m. ,Sunday,06/30/2019 7:35 p.m. ,Inactive 
Theft ,19-0232 ,Track Stadium ,07/01/2019 11:52 a.m. ,6/24/2019,8 a.m. ,Monday,07/01/2019 8 a.m. ,Inactive 
Theft ,19-0233 ,Abercrombie ,07/01/2019 7:42 p.m. ,7/1/2019,8:30 a.m. ,Monday,07/01/2019 5 p.m. ,Inactive 
Theft ,19-0234 ,Hanszen College ,07/02/2019 9:03 a.m. ,7/1/2019,9 p.m. ,Monday,07/02/2019 8 a.m. ,Inactive 
Theft ,19-0235 ,Rice Stadium ,07/02/2019 3:51 p.m. ,7/2/2019,1 p.m. ,Tuesday,07/02/2019 3:20 p.m. ,Cleared 
Theft ,19-0237 ,Jones College ,07/03/2019 5:25 p.m. ,7/2/2019,4 p.m. ,Tuesday,07/03/2019 4:30 p.m. ,Inactive 
Theft ,19-0238 ,Hanszen College ,07/06/2019 4:39 p.m. ,7/6/2019,2 p.m. ,Saturday,07/07/2019 4:40 p.m. ,Unfounded 
Theft ,19-0240 ,West Lot ,07/08/2019 4:05 p.m. ,7/3/2019,6 p.m. ,Wednesday,07/08/2019 4 p.m. ,Inactive 
Theft ,19-0241 ,BRC ,07/09/2019 6:34 p.m. ,7/9/2019,12:10 p.m. ,Tuesday,07/09/2019 5:40 p.m. ,Inactive 
Criminal Mischief ,19-0242 ,Herzstein Hall ,07/10/2019 7:46 a.m. ,7/9/2019,5 p.m. ,Tuesday,07/10/2019 7:30 a.m. ,Inactive 
Theft ,19-0243 ,Tudor Field House ,07/10/2019 4:12 p.m. ,7/10/2019,10:30 a.m. ,Wednesday,07/10/2019 12:25 p.m. ,Inactive 
Theft ,19-0244 ,Valhalla ,07/10/2019 10:08 p.m. ,7/10/2019,9:45 a.m. ,Wednesday,07/10/2019 10:15 a.m. ,Inactive 
Driving While Intoxicated ,19-0245 ,Off Campus ,07/11/2019 1:52 a.m. ,7/11/2019,1:57 a.m. ,Thursday,07/11/2019 2:30 a.m. ,Criminal Arrest 
Fraud ,19-0246 ,Off Campus ,07/11/2019 8:59 a.m. ,5/31/2019,midnight ,Friday,05/31/2019 midnight ,Inactive 
Theft ,19-0247 ,Abercrombie ,07/11/2019 9:48 a.m. ,7/8/2019,midnight ,Monday,07/11/2019 9:45 a.m. ,Inactive 
Criminal Mischief ,19-0248 ,Entrance #18 ,07/12/2019 3:58 a.m. ,7/12/2019,midnight ,Friday,07/12/2019 3:58 a.m. ,Inactive 
Theft ,19-0249 ,Facilities &amp; Engineering ,07/13/2019 12:12 p.m. ,7/12/2019,2:30 p.m. ,Friday,07/12/2019 11:30 p.m. ,Unfounded 
Failure to Identify ,19-0250 ,A. P. Brown Hall ,07/14/2019 11:18 p.m. ,7/14/2019,11:15 p.m. ,Sunday,07/15/2019 3:47 a.m. ,Criminal Arrest 
Criminal Mischief ,19-0251 ,Rayzor Hall ,07/16/2019 12:17 p.m. ,7/15/2019,5 p.m. ,Monday,07/16/2019 12:15 p.m. ,Inactive 
Theft ,19-0253 ,Keck Hall ,07/16/2019 2:26 p.m. ,7/15/2019,10 a.m. ,Monday,07/15/2019 5:30 p.m. ,Inactive 
Theft ,19-0254 ,Anderson Hall ,07/16/2019 7:36 p.m. ,7/16/2019,7:10 p.m. ,Tuesday,07/16/2019 7:25 p.m. ,Inactive 
Criminal Mischief ,19-0258 ,Sid Richardson College ,07/19/2019 12:35 a.m. ,7/18/2019,5:37 a.m. ,Thursday,07/19/2019 12:43 a.m. ,Inactive 
Failure to Stop and Give Information ,19-0259 ,North Annex Lot ,07/19/2019 4:37 a.m. ,7/18/2019,11 p.m. ,Thursday,07/19/2019 4:30 a.m. ,Inactive 
Theft ,19-0260 ,Keck Hall ,07/19/2019 3:02 p.m. ,7/18/2019,6 p.m. ,Thursday,07/19/2019 3 p.m. ,Inactive 
Criminal Trespass ,19-0261 ,Soft Sidewalk ,07/22/2019 1:04 a.m. ,7/22/2019,1:05 a.m. ,Monday,07/22/2019 2:14 a.m. ,Criminal Arrest 
Indecent Exposure ,19-0262 ,Soft Sidewalk ,07/22/2019 7:25 a.m. ,7/22/2019,7:24 a.m. ,Monday,07/22/2019 7:25 a.m. ,County Citiation 
Theft ,19-0264 ,Jesse H. Jones School ,07/25/2019 6:28 p.m. ,7/25/2019,2 p.m. ,Thursday,07/25/2019 4 p.m. ,Inactive 
Theft ,19-0265 ,Duncan College ,07/26/2019 1:36 p.m. ,7/26/2019,12:15 p.m. ,Friday,07/26/2019 2:45 p.m. ,Inactive 
Criminal Trespass ,19-0267 ,Cambridge Building ,07/27/2019 3:07 p.m. ,7/27/2019,3:07 p.m. ,Saturday,07/27/2019 3:51 p.m. ,Criminal Arrest 
Criminal Mischief ,19-0268 ,Space Sciences ,07/29/2019 9:37 a.m. ,7/28/2019,9 p.m. ,Sunday,07/29/2019 8:30 a.m. ,Cleared 
Fraud ,19-0269 ,Post Office ,07/29/2019 3:28 p.m. ,7/9/2019,midnight ,Tuesday,07/26/2019 midnight ,Inactive 
Warrants ,19-0272 ,Laboratory Road ,08/01/2019 11:02 a.m. ,8/1/2019,10:57 a.m. ,Thursday,08/01/2019 11:49 a.m. ,Criminal Arrest 
Theft ,19-0277 ,Duncan College ,08/01/2019 8:02 p.m. ,7/14/2019,8 a.m. ,Sunday,07/28/2019 8 a.m. ,Inactive 
Theft ,19-0278 ,Wiess College ,08/02/2019 12:55 p.m. ,7/18/2019,10:54 a.m. ,Thursday,07/26/2019 3 a.m. ,Inactive 
Criminal Trespass ,19-0280 ,Valhalla ,08/02/2019 1:37 a.m. ,8/2/2019,1:37 a.m. ,Friday,08/02/2019 1:37 a.m. ,County Citiation 
Theft ,19-0282 ,BRC ,08/03/2019 2:57 a.m. ,8/2/2019,9 a.m. ,Friday,08/02/2019 9 p.m. ,Inactive 
Theft ,19-0283 ,BRC ,08/03/2019 8:30 a.m. ,8/3/2019,8:20 p.m. ,Saturday,08/03/2019 8:21 p.m. ,Inactive 
Theft ,19-0285 ,Martel College ,08/05/2019 4:36 p.m. ,6/1/2019,1 p.m. ,Saturday,08/05/2019 1 p.m. ,Inactive 
Burglary of a Motor Vehicle ,19-0286 ,Founders Court Drive ,08/06/2019 2:17 p.m. ,8/6/2019,9:20 a.m. ,Tuesday,08/06/2019 2:15 p.m. ,Inactive 
Failure to Stop and Give Information ,19-0289 ,Alumni Drive ,08/09/2019 9:41 a.m. ,8/9/2019,9:40 a.m. ,Friday,08/09/2019 9:41 a.m. ,County Citiation 
Driving While License is Invalid ,19-0290 ,North Colleges ,08/13/2019 noon ,8/13/2019,noon ,Tuesday,08/13/2019 2:30 p.m. ,Criminal Arrest 
Burglary (Clery) ,19-0291 ,Tudor Field House ,08/13/2019 12:46 p.m. ,8/12/2019,4 p.m. ,Monday,08/13/2019 12:45 p.m. ,Inactive 
Theft ,19-0293 ,Brown College ,08/13/2019 3:21 p.m. ,8/12/2019,8 a.m. ,Monday,08/13/2019 3:45 p.m. ,Inactive 
Theft ,19-0297 ,Sewall Hall ,08/15/2019 11:07 a.m. ,7/10/2019,midnight ,Wednesday,07/10/2019 midnight ,Inactive 
Drug/Narcotic Violations (Clery) ,19-0300 ,Brian Patterson Complex ,08/16/2019 3:34 a.m. ,8/16/2019,3:20 a.m. ,Friday,08/16/2019 3:35 a.m. ,Criminal Arrest 
Theft ,19-0302 ,Hanszen College ,08/17/2019 2:44 p.m. ,5/19/2019,midnight ,Sunday,08/17/2019 midnight ,Inactive 
Theft ,19-0303 ,Duncan Hall ,08/19/2019 11 a.m. ,8/16/2019,5 p.m. ,Friday,08/17/2019 noon ,Inactive 
Theft ,19-0304 ,Will Rice College ,08/19/2019 11:35 a.m. ,5/4/2019,8 a.m. ,Saturday,08/19/2019 11:30 a.m. ,Inactive 
Failure to Stop and Give Information ,19-0306 ,South Colleges Lot ,08/22/2019 8:12 a.m. ,8/21/2019,11:20 p.m. ,Wednesday,08/22/2019 8:12 a.m. ,Inactive 
Harassment ,19-0307 ,Tudor Field House ,08/22/2019 11:30 a.m. ,8/19/2019,8:43 a.m. ,Monday,08/19/2019 9 a.m. ,Inactive 
Theft ,19-0308 ,Rayzor Hall ,08/22/2019 1:51 p.m. ,8/22/2019,1:30 p.m. ,Thursday,08/22/2019 2 p.m. ,Inactive 
Theft ,19-0309 ,Jesse H. Jones School ,08/22/2019 4:25 p.m. ,8/22/2019,11 a.m. ,Thursday,08/22/2019 noon ,Unfounded 
Indecent Exposure ,19-0310 ,Entrance #2 ,08/23/2019 8:22 p.m. ,8/23/2019,8:10 p.m. ,Friday,08/23/2019 8:20 p.m. ,Inactive 
Public Intoxication ,19-0312 ,Entrance #1 ,08/25/2019 5:37 a.m. ,8/25/2019,5:37 a.m. ,Sunday,08/25/2019 6:30 a.m. ,Criminal Arrest 
Theft ,19-0314 ,Duncan College ,08/26/2019 7:01 a.m. ,8/24/2019,4:30 p.m. ,Saturday,08/24/2019 10 p.m. ,Unfounded 
Theft ,19-0316 ,Will Rice College ,08/26/2019 1:08 p.m. ,8/18/2019,10:30 a.m. ,Sunday,08/18/2019 10:30 a.m. ,Inactive 
Theft ,19-0317 ,McMurtry College ,08/26/2019 4:07 p.m. ,8/22/2019,noon ,Thursday,08/23/2019 7 a.m. ,Inactive 
Theft ,19-0318 ,Duncan College ,08/26/2019 2:17 p.m. ,6/22/2019,1 p.m. ,Saturday,08/25/2019 11 a.m. ,Inactive 
Theft ,19-0322 ,Ryon Lab ,08/30/2019 11:46 a.m. ,8/28/2019,8 a.m. ,Wednesday,08/30/2019 8 a.m. ,Inactive 
Theft ,19-0323 ,Sid Richardson College ,08/30/2019 2:35 p.m. ,5/1/2019,noon ,Wednesday,08/26/2019 noon ,Inactive 
Theft ,19-0324 ,South Colleges Lot ,08/29/2019 5 p.m. ,8/25/2019,9 a.m. ,Sunday,08/25/2019 3:45 p.m. ,Inactive 
Theft ,19-0325 ,Baker College ,09/01/2019 1:59 a.m. ,8/31/2019,9:30 p.m. ,Saturday,09/01/2019 1 a.m. ,Inactive 
Theft ,19-0328 ,Jones College ,09/04/2019 11:48 a.m. ,9/3/2019,9 a.m. ,Tuesday,09/03/2019 11 p.m. ,Inactive 
Fraud ,19-0329 ,Hanszen College ,09/05/2019 2:24 p.m. ,9/5/2019,10:51 a.m. ,Thursday,09/05/2019 11 a.m. ,Inactive 
Failure to Stop and Give Information ,19-0330 ,West Lot ,09/06/2019 4:36 p.m. ,9/6/2019,6:10 a.m. ,Friday,09/06/2019 2:40 p.m. ,Inactive 
Theft ,19-0331 ,Off Campus ,09/07/2019 7:34 p.m. ,9/6/2019,8 p.m. ,Friday,09/07/2019 4 p.m. ,Inactive 
Criminal Mischief ,19-0332 ,Wiess College ,09/09/2019 9:26 a.m. ,9/6/2019,midnight ,Friday,09/09/2019 9:20 a.m. ,Inactive 
Failure to Stop and Give Information ,19-0333 ,West Lot ,09/09/2019 10:02 a.m. ,8/26/2019,midnight ,Monday,09/09/2019 midnight ,Unfounded 
Failure to Stop and Give Information ,19-0334 ,West Lot ,09/09/2019 10:24 a.m. ,9/6/2019,midnight ,Friday,09/09/2019 midnight ,Unfounded 
Theft ,19-0335 ,Rec Center ,09/09/2019 1:09 p.m. ,9/8/2019,2 p.m. ,Sunday,09/08/2019 4 p.m. ,Inactive 
Criminal Trespass ,19-0336 ,BRC ,09/09/2019 2:30 p.m. ,9/9/2019,2:30 p.m. ,Monday,09/09/2019 3:39 p.m. ,Criminal Arrest 
Extortion ,19-0337 ,Off Campus ,09/10/2019 9:59 a.m. ,6/1/2019,midnight ,Saturday,09/09/2019 midnight ,Inactive 
Theft ,19-0338 ,Duncan College ,09/10/2019 1:17 p.m. ,9/9/2019,midnight ,Monday,09/10/2019 10 p.m. ,Inactive 
Theft ,19-0339 ,West Lot ,09/10/2019 2:56 p.m. ,9/2/2019,6:30 p.m. ,Monday,09/09/2019 9:30 a.m. ,Inactive 
Theft ,19-0340 ,West Servery ,09/11/2019 9:11 a.m. ,9/11/2019,2 a.m. ,Wednesday,09/11/2019 9 a.m. ,Inactive 
Theft ,19-0341 ,Baker College ,09/11/2019 4:21 p.m. ,8/30/2019,4 p.m. ,Friday,09/03/2019 10 a.m. ,Inactive 
Theft ,19-0342 ,Rice Memorial Center ,09/12/2019 1:49 p.m. ,9/11/2019,8 p.m. ,Wednesday,09/12/2019 1 a.m. ,Inactive 
Theft ,19-0345 ,Brown College ,09/13/2019 1:32 p.m. ,9/11/2019,8:30 p.m. ,Wednesday,09/11/2019 9 p.m. ,Inactive 
Theft ,19-0346 ,Housing and Dining ,09/13/2019 10:11 p.m. ,9/6/2019,3 p.m. ,Friday,09/13/2019 5:30 p.m. ,Unfounded 
Harassment ,19-0349 ,North Colleges Lot ,09/14/2019 5:47 a.m. ,9/14/2019,5:47 a.m. ,Saturday,09/14/2019 7:22 a.m. ,Criminal Arrest 
Criminal Mischief ,19-0350 ,Abercrombie ,09/14/2019 9:22 a.m. ,9/13/2019,2 p.m. ,Friday,09/14/2019 9:30 a.m. ,Inactive 
Theft ,19-0352 ,Will Rice College ,09/14/2019 3:11 p.m. ,9/13/2019,11 p.m. ,Friday,09/14/2019 2 p.m. ,Inactive 
Criminal Trespass ,19-0353 ,RUMPAC/Brockman Performing arts Center ,09/14/2019 5:48 p.m. ,9/14/2019,5:48 p.m. ,Saturday,09/14/2019 6:47 p.m. ,Inactive 
Theft ,19-0354 ,McMurtry College ,09/16/2019 11:54 a.m. ,9/14/2019,6:30 p.m. ,Saturday,09/15/2019 4 p.m. ,Inactive 
Theft ,19-0355 ,McMurtry College ,09/16/2019 2:04 p.m. ,9/15/2019,midnight ,Sunday,09/16/2019 midnight ,Inactive 
Fraud ,19-0356 ,Fondren Library ,09/16/2019 4:07 p.m. ,9/6/2019,11:17 a.m. ,Friday,09/06/2019 11:17 a.m. ,Judicial Referral 
Theft ,19-0358 ,Anderson Biology ,09/18/2019 1:20 p.m. ,9/18/2019,10:30 a.m. ,Wednesday,09/18/2019 12:30 p.m. ,Inactive 
Criminal Trespass ,19-0359 ,Jesse H. Jones School ,09/18/2019 12:59 p.m. ,9/18/2019,12:55 p.m. ,Wednesday,09/18/2019 1:30 p.m. ,County Citiation 
Criminal Trespass ,19-0360 ,Oshman Engineering ,09/20/2019 12:05 a.m. ,9/20/2019,12:06 a.m. ,Friday,09/20/2019 12:32 a.m. ,Criminal Arrest 
Burglary of a Motor Vehicle ,19-0361 ,BRC ,09/20/2019 1:12 p.m. ,9/20/2019,12:30 p.m. ,Friday,09/20/2019 1:20 p.m. ,Inactive 
Criminal Mischief ,19-0362 ,West Lot ,09/20/2019 3:50 p.m. ,9/20/2019,12:30 p.m. ,Friday,09/20/2019 3:46 p.m. ,Inactive 
Possession of Fraudlent Identification ,19-0363 ,Greenbriar Lot ,09/21/2019 3:42 p.m. ,9/20/2019,12:25 p.m. ,Friday,09/21/2019 midnight ,Judicial Referral 
Alcohol Violations (Clery) ,19-0365 ,Sid Richardson College ,09/21/2019 10:53 p.m. ,9/21/2019,10:53 p.m. ,Saturday,09/22/2019 12:17 a.m. ,Judicial Referral 
Theft ,19-0366 ,Baker College ,09/22/2019 6:37 p.m. ,9/21/2019,11 p.m. ,Saturday,09/22/2019 5:20 p.m. ,Inactive 
Theft ,19-0367 ,Sewall Hall ,09/22/2019 10:29 p.m. ,9/22/2019,1 p.m. ,Sunday,09/22/2019 10 p.m. ,Inactive 
Warrants ,19-0368 ,Greenbriar Annex Building ,09/23/2019 6:40 a.m. ,9/23/2019,6:40 a.m. ,Monday,09/23/2019 8:30 a.m. ,Inactive 
Theft ,19-0369 ,McMurtry College ,09/23/2019 10:33 a.m. ,9/20/2019,4 p.m. ,Friday,09/21/2019 12:45 p.m. ,Inactive 
Theft ,19-0370 ,West Lot ,09/23/2019 11:24 a.m. ,9/17/2019,3 p.m. ,Tuesday,09/23/2019 9:30 a.m. ,Inactive 
Theft ,19-0371 ,Will Rice College ,09/24/2019 5:28 p.m. ,9/20/2019,noon ,Friday,09/22/2019 noon ,Inactive 
Sex Offenses (Forcible) (Clery) ,19-0372 ,Off Campus ,09/24/2019 12:30 p.m. ,12/1/2017,midnight ,Friday,12/31/2017 midnight ,Inactive 
Theft ,19-0373 ,Will Rice College ,09/24/2019 3:39 p.m. ,9/12/2019,3 p.m. ,Thursday,09/24/2019 12:30 p.m. ,Inactive 
Extortion ,19-0375 ,Off Campus ,09/25/2019 7:35 a.m. ,9/25/2019,3:07 a.m. ,Wednesday,09/25/2019 3:07 a.m. ,Inactive 
Theft ,19-0376 ,McMurtry College ,09/25/2019 12:52 p.m. ,9/25/2019,12:52 p.m. ,Wednesday,09/25/2019 2:09 p.m. ,Criminal Arrest 
Criminal Trespass ,19-0377 ,Martel College ,09/26/2019 12:17 a.m. ,9/26/2019,12:19 a.m. ,Thursday,09/26/2019 1:11 a.m. ,Criminal Arrest 
Criminal Mischief ,19-0378 ,W. M. Rice Statue ,09/26/2019 2:23 a.m. ,9/26/2019,midnight ,Thursday,09/26/2019 2:23 a.m. ,Judicial Referral 
Theft ,19-0379 ,Rec Center ,09/26/2019 1:23 p.m. ,9/26/2019,10:30 a.m. ,Thursday,09/26/2019 11:20 a.m. ,Inactive 
Criminal Mischief ,19-0382 ,BRC ,09/30/2019 9:32 a.m. ,9/29/2019,5 p.m. ,Sunday,09/30/2019 9:30 a.m. ,Inactive 
Theft ,19-0383 ,Wiess College ,09/30/2019 5:48 p.m. ,9/29/2019,5 p.m. ,Sunday,09/30/2019 12:30 p.m. ,Inactive 
Failure to Stop and Give Information ,19-0385 ,West Lot ,10/01/2019 12:37 p.m. ,10/1/2019,8:20 a.m. ,Tuesday,10/01/2019 12:30 p.m. ,Inactive 
Theft ,19-0386 ,Brown College ,10/01/2019 9:52 p.m. ,10/1/2019,3 p.m. ,Tuesday,10/01/2019 7 p.m. ,Criminal Arrest 
Fraud ,19-0387 ,Humanities ,10/02/2019 8:40 a.m. ,10/1/2019,5 p.m. ,Tuesday,10/02/2019 10:16 a.m. ,Inactive 
Theft ,19-0388 ,Brown College ,10/03/2019 9:30 a.m. ,9/30/2019,10 p.m. ,Monday,10/01/2019 2:30 p.m. ,Criminal Arrest 
Failure to Stop and Give Information ,19-0389 ,West Lot ,10/04/2019 2 p.m. ,10/4/2019,8:30 a.m. ,Friday,10/04/2019 2 p.m. ,Inactive 
Burglary of a Motor Vehicle ,19-0390 ,Greenbriar Lot ,10/04/2019 7:21 p.m. ,10/4/2019,6:30 p.m. ,Friday,10/04/2019 7:10 p.m. ,Inactive 
Theft ,19-0391 ,Brown College ,10/07/2019 10:22 a.m. ,10/7/2019,10:15 a.m. ,Monday,10/07/2019 10:22 a.m. ,Criminal Arrest 
Criminal Mischief ,19-0393 ,Greenbriar Lot ,10/08/2019 12:38 p.m. ,10/8/2019,noon ,Tuesday,10/08/2019 12:38 p.m. ,Inactive 
Burglary of a Motor Vehicle ,19-0396 ,College Way ,10/11/2019 1:53 p.m. ,10/11/2019,1:20 p.m. ,Friday,10/11/2019 2 p.m. ,Unfounded 
Theft ,19-0398 ,Off Campus ,10/14/2019 8:59 a.m. ,10/10/2019,4 p.m. ,Thursday,10/11/2019 11:26 a.m. ,Inactive 
Burglary of a Motor Vehicle ,19-0399 ,Lot 6 ,10/14/2019 3:33 p.m. ,10/12/2019,7:30 p.m. ,Saturday,10/12/2019 10:30 p.m. ,Inactive 
Theft ,19-0402 ,Brochstein Pavilion ,10/15/2019 3:45 p.m. ,10/15/2019,noon ,Tuesday,10/15/2019 2 p.m. ,Inactive 
Theft ,19-0403 ,BRC ,10/15/2019 7:48 p.m. ,10/15/2019,8:20 a.m. ,Tuesday,10/15/2019 7:30 p.m. ,Inactive 
Theft ,19-0404 ,McMurtry College ,10/16/2019 1:38 p.m. ,10/10/2019,2 p.m. ,Thursday,10/18/2019 9 a.m. ,Inactive 
Criminal Mischief ,19-0406 ,Central Campus Garage ,10/18/2019 3:23 p.m. ,10/13/2019,7 a.m. ,Sunday,10/18/2019 3:30 p.m. ,Inactive 
Criminal Mischief ,19-0407 ,Rice Village Apartments ,10/18/2019 3:12 p.m. ,10/18/2019,2 p.m. ,Friday,10/18/2019 3 p.m. ,Inactive 
Public Intoxication ,19-0408 ,Entrance #18 ,10/19/2019 12:09 a.m. ,10/19/2019,12:10 a.m. ,Saturday,10/18/2019 12:59 a.m. ,Inactive 
Assault ,19-0410 ,Off Campus ,10/21/2019 3:26 p.m. ,1/1/2018,midnight ,Monday,10/21/2019 midnight ,County Citiation 
Theft ,19-0411 ,Entrance 25 ,10/23/2019 11:50 a.m. ,10/23/2019,11:43 a.m. ,Wednesday,10/23/2019 11:50 a.m. ,Inactive 
Theft ,19-0415 ,Fondren Library ,10/24/2019 10:59 a.m. ,10/22/2019,6 p.m. ,Tuesday,10/24/2019 10 a.m. ,Inactive 
Failure to Stop and Give Information ,19-0416 ,Lovett Hall ,10/24/2019 11:47 a.m. ,10/9/2019,12:13 p.m. ,Wednesday,10/23/2019 5:15 p.m. ,Inactive 
Public Intoxication ,19-0417 ,West Lot ,10/25/2019 12:13 a.m. ,10/25/2019,midnight ,Friday,10/25/2019 12:13 a.m. ,Judicial Referral 
Criminal Mischief ,19-0418 ,Rayzor Hall ,10/25/2019 11:05 a.m. ,10/23/2019,1 p.m. ,Wednesday,10/25/2019 8 a.m. ,Inactive 
Theft ,19-0420 ,McMurtry College ,10/25/2019 7:38 p.m. ,10/25/2019,7:38 p.m. ,Friday,10/25/2019 8:11 p.m. ,Inactive 
Possession of Fraudlent Identification ,19-0421 ,Lovett College ,10/26/2019 2:17 a.m. ,10/26/2019,2 a.m. ,Saturday,10/26/2019 2:22 a.m. ,Judicial Referral 
Warrants ,19-0422 ,College Way ,10/26/2019 8 p.m. ,10/26/2019,8 p.m. ,Saturday,10/26/2019 9:35 p.m. ,Criminal Arrest 
Public Intoxication ,19-0423 ,Wiess College ,10/26/2019 9:34 p.m. ,10/26/2019,9 p.m. ,Saturday,10/27/2019 2 a.m. ,Judicial Referral 
Failure to Stop and Give Information ,19-0424 ,Moody Lot ,10/28/2019 9:34 p.m. ,10/28/2019,9:34 p.m. ,Monday,10/28/2019 9:51 p.m. ,Inactive 
Theft ,19-0425 ,Wiess College ,10/29/2019 8:34 a.m. ,8/15/2019,midnight ,Thursday,10/08/2019 midnight ,Inactive 
Theft ,19-0426 ,Fondren Library ,10/29/2019 12:10 p.m. ,10/29/2019,8 a.m. ,Tuesday,10/29/2019 12:12 p.m. ,Inactive 
Theft ,19-0430 ,Martel College ,10/30/2019 10:09 a.m. ,10/29/2019,8:30 p.m. ,Tuesday,10/30/2019 8 a.m. ,Inactive 
Theft ,19-0432 ,Humanities ,10/30/2019 7:29 p.m. ,10/30/2019,8 a.m. ,Wednesday,10/30/2019 3 p.m. ,Inactive 
Possession of Fraudlent Identification ,19-0436 ,North Colleges Lot ,11/01/2019 8:52 a.m. ,11/1/2019,8:52 a.m. ,Friday,11/01/2019 noon ,Judicial Referral 
Theft ,19-0437 ,Duncan College ,11/01/2019 12:28 p.m. ,11/1/2019,2:40 a.m. ,Friday,11/01/2019 9:40 a.m. ,Inactive 
Theft ,19-0439 ,Jones College ,11/02/2019 2:08 p.m. ,11/1/2019,8:15 p.m. ,Friday,11/02/2019 2 p.m. ,Inactive 
Failure to Stop and Give Information ,19-0440 ,College Way ,11/02/2019 3:37 p.m. ,10/31/2019,9 p.m. ,Thursday,10/31/2019 11 p.m. ,Inactive 
Theft ,19-0441 ,Wiess College ,11/02/2019 4:12 p.m. ,11/1/2019,midnight ,Friday,11/01/2019 midnight ,Inactive 
